first_gen,child,parent
0,0e8ace00c0fc3dde,72c9aa6b3a972c03
0,59e9f035ccdf6586,a3cce038a6f1c0c2
0,fadf98998ab23309,bd2de118e66c6bec
0,5f9efa53b14e64e8,4d3e2d0349fa3dc2
0,97454fc1bfb0cb21,4d3e2d0349fa3dc2
0,74e523945bc82076,b28ac4877112faa0
0,d36c8477f462cb22,efbda39c88498347
0,89c26dcd79f0478b,efbda39c88498347
0,5561a3cad8ff374f,efbda39c88498347
0,9e63271b8afd1bf2,efbda39c88498347
0,39c27d2558afa836,efbda39c88498347
0,0ecd4ced254e83a8,68734f34877f8c46
0,5e5a6c5e75cb1cc3,68734f34877f8c46
0,c5b6fe77fa30894e,8442f355dbb6d1f6
0,68e7675923254034,65cc69c328ea35e7
0,90e0676ff5b5f6e8,b28ac4877112faa0
0,0c6b72fea1538484,b28ac4877112faa0
0,7b69204417c5a640,0c6b72fea1538484
0,bf07e70e7a696abc,b28ac4877112faa0
0,3717ac0d4494b49c,cd7872aa20e579fc
0,18d94c593b508f85,b28ac4877112faa0
0,a3f143b92367fab5,b28ac4877112faa0
0,c4f9ba47ba4eebc9,1376a9588c03df46
0,fc146e28136cff86,ce44438b6cba1fe5
0,2a228ac4e381efca,8442f355dbb6d1f6
0,5a9e9c2fe19f41c3,8442f355dbb6d1f6
0,69b1313c95143e48,330aa90b21e174b1
0,5bce52a45b8663cb,a3cce038a6f1c0c2
0,6369b5aad28f1e04,b28ac4877112faa0
0,4fd0e3cbac7c4702,d8571e86c1617b58
0,70214ae60ffb475a,bbc5c0a694e0e931
0,bf989d30fbbbd884,d8571e86c1617b58
0,d81407cfe692bc2e,d8571e86c1617b58
0,21c8db3bdf9ca541,d8571e86c1617b58
0,0d9e789d168f0771,bd2de118e66c6bec
0,6a033d16ce7f2bd8,bd2de118e66c6bec
0,f0c49fc8945d3b33,bd2de118e66c6bec
0,22883043183ef057,bd2de118e66c6bec
0,ce8e424ba9e215ad,b28ac4877112faa0
0,8bae704fee43e41c,39aad3b2de05a888
0,7b5738efd2ab69c8,d8571e86c1617b58
0,67fa9517c2d7545a,68734f34877f8c46
0,7d434b0d2074442f,4d3e2d0349fa3dc2
0,7a9983eb8a20322c,4d3e2d0349fa3dc2
0,6b883a0a7dd70d5b,4fd0e3cbac7c4702
0,926cde58686a1b03,efbda39c88498347
0,b631d9dba2c2a305,efbda39c88498347
0,10d2ef4060954b85,0ecd4ced254e83a8
0,a1617b4678c38e5d,1a58a0643ff24962
0,ea681c6fa43b2ec3,d90d84a9de4bc4ba
0,9f25c27232628402,68734f34877f8c46
0,0fc58724f2df61b2,8a99a5c2e72e9ac2
0,4d283b00c06b74dc,cd7872aa20e579fc
0,135ba5c25aafb0e5,8442f355dbb6d1f6
0,9d42af6c5d2a3c2e,31af35ffb5bb5845
0,3434acafefe94bbe,cd7872aa20e579fc
0,58ba77c2e5ba90a0,cd7872aa20e579fc
0,790023e6bd9b8a22,290f35b83b457dd4
0,c44936da757b50b9,d6a9944b16b0624b
0,477eec1c0791de25,d6a9944b16b0624b
0,4036310eda10f317,d8571e86c1617b58
0,fdc11668bbdacf72,d8571e86c1617b58
0,0d221985c9af2da6,d8571e86c1617b58
0,3ee8fb54ada56621,d8571e86c1617b58
0,a186554732c5f752,b1cea5c5cde529fa
0,195ee540d339ac14,bd2de118e66c6bec
0,d662a8b6900e75e1,bd2de118e66c6bec
0,a7672cb1ecf0f27e,bd2de118e66c6bec
