pop,gen,best,mean,unique
0,46,8.762,7.1809,82
1,46,8.762,7.2977,73
2,46,8.762,7.4001,70
3,46,8.762,7.3282,69
0,47,8.762,7.4127,76
1,47,8.762,7.3606,70
2,47,8.762,7.3931,72
3,47,8.762,7.2655,74
0,48,8.762,7.2587,86
1,48,8.762,7.3982,70
2,48,8.762,7.2179,78
3,48,8.762,7.4369,80
0,49,8.762,7.1531,79
1,49,8.762,7.3121,79
2,49,8.762,7.2753,85
3,49,8.762,7.2731,80
0,50,8.762,7.3463,70
1,50,8.762,7.1758,75
2,50,8.762,7.2569,78
3,50,8.762,7.264,83
0,51,8.762,7.2218,82
1,51,8.762,7.2323,77
2,51,8.762,7.2038,86
3,51,8.762,7.5215,74
0,52,8.762,7.2547,84
1,52,8.762,7.2321,68
2,52,8.762,7.3282,70
3,52,8.762,7.2376,88
0,53,8.762,7.3621,81
1,53,8.762,7.3319,73
2,53,8.762,7.1084,81
3,53,8.762,7.208,76
0,54,8.762,7.2724,83
1,54,8.762,7.1436,88
2,54,8.762,7.2546,75
3,54,8.762,7.1973,79
0,55,8.762,7.3023,72
1,55,8.762,7.2739,73
2,55,8.762,7.2668,84
3,55,8.762,7.2287,73
0,56,8.762,7.3419,77
1,56,8.762,7.1085,82
2,56,8.762,7.3434,76
3,56,8.762,7.2871,75
0,57,8.762,7.434,68
1,57,8.762,7.2618,80
2,57,8.762,7.2308,76
3,57,8.762,7.2896,81
0,58,8.762,7.2303,87
1,58,8.762,7.3372,74
2,58,8.762,7.3347,77
3,58,8.762,7.0747,80
0,59,8.762,7.1259,78
1,59,8.762,7.2154,78
2,59,8.762,7.3011,74
3,59,8.762,7.1567,85
0,60,8.762,7.3861,76
1,60,8.762,7.2785,82
2,60,8.762,7.2434,76
3,60,8.762,7.2282,71
0,61,8.762,7.3253,70
1,61,8.762,7.1403,75
2,61,8.762,7.3728,68
3,61,8.762,7.3694,66
0,62,8.762,7.3773,85
1,62,8.762,7.2136,74
2,62,8.762,7.3512,71
3,62,8.762,7.4344,79
0,63,8.762,7.156,76
1,63,8.762,7.3321,77
2,63,8.762,7.3673,79
3,63,8.762,7.1675,78
0,64,8.762,7.2328,75
1,64,8.762,7.1495,82
2,64,8.762,7.1392,78
3,64,8.762,7.2396,71
0,65,8.762,7.2956,74
1,65,8.762,7.31,82
2,65,8.762,7.3073,77
3,65,8.762,7.2861,77
0,66,8.762,7.3203,78
1,66,8.762,7.3657,78
2,66,8.762,7.3548,79
3,66,8.762,7.4058,69
0,67,8.762,7.2556,76
1,67,8.762,7.25,77
2,67,8.762,7.3391,74
3,67,8.762,7.3167,72
0,68,8.762,7.2524,69
1,68,8.762,7.2344,76
2,68,8.762,7.1287,83
3,68,8.762,7.3007,77
0,69,8.762,7.2265,82
1,69,8.762,7.3398,73
2,69,8.762,7.2328,76
3,69,8.762,7.1387,84
0,70,8.762,7.2601,86
1,70,8.762,7.3701,74
2,70,8.762,7.1897,81
3,70,8.762,7.3442,85
0,71,8.762,7.3411,74
1,71,8.762,7.3345,78
2,71,8.762,7.2475,69
3,71,8.762,7.3164,76
0,72,8.762,7.2016,79
1,72,8.762,7.2061,81
2,72,8.762,7.2632,87
3,72,8.762,7.329,77
0,73,8.762,7.2874,78
1,73,8.762,7.3569,83
2,73,8.762,7.328,75
3,73,8.762,7.3144,73
0,74,8.762,7.4143,76
1,74,8.762,7.2581,66
2,74,8.762,7.3119,77
3,74,8.762,7.3015,70
0,75,8.762,7.3767,72
1,75,8.762,7.2699,76
2,75,8.762,7.2042,80
3,75,8.762,7.2619,75
0,76,8.762,7.3078,65
1,76,8.762,7.3321,82
2,76,8.762,7.2202,77
3,76,8.762,7.2446,72
0,77,8.762,7.3047,74
1,77,8.762,7.3622,75
2,77,8.762,7.294,80
3,77,8.762,7.387,77
0,78,8.762,7.2931,80
1,78,8.762,7.3904,72
2,78,8.762,7.4075,83
3,78,8.762,7.1754,85
0,79,8.762,7.2502,79
1,79,8.762,7.4385,75
2,79,8.762,7.2303,67
3,79,8.762,7.3231,77
0,80,8.762,7.16,69
1,80,8.762,7.2633,68
2,80,8.762,7.272,72
3,80,8.762,7.2912,80
0,81,8.762,7.2427,76
1,81,8.762,7.1783,87
2,81,8.762,7.1006,82
3,81,8.762,7.3557,79
0,82,8.762,7.2232,90
1,82,8.762,7.3722,74
2,82,8.762,7.3331,73
3,82,8.762,7.279,81
0,83,8.762,7.2463,71
1,83,8.762,7.2546,84
2,83,8.762,7.2113,73
3,83,8.762,7.2964,76
0,84,8.762,7.172,77
1,84,8.762,7.299,80
2,84,8.762,7.3301,81
3,84,8.762,7.2808,78
0,85,8.762,7.3255,67
1,85,8.762,7.2953,77
2,85,8.762,7.2198,78
3,85,8.762,7.193,78
0,86,8.762,7.2721,81
1,86,8.762,7.2979,79
2,86,8.762,7.3327,76
3,86,8.762,7.4295,74
0,87,8.762,7.3193,74
1,87,8.762,7.2456,75
2,87,8.762,7.3694,71
3,87,8.762,7.2032,84
0,88,8.762,7.1882,77
1,88,8.762,7.1722,76
2,88,8.762,7.2772,77
3,88,8.762,7.3738,74
0,89,8.762,7.2469,75
1,89,8.762,7.1615,80
2,89,8.762,7.3106,74
3,89,8.762,7.1991,86
0,90,8.762,7.4112,68
1,90,8.762,7.3295,82
2,90,8.762,7.2736,78
3,90,8.762,7.3209,75
0,91,8.762,7.2968,81
1,91,8.762,7.3603,81
2,91,8.762,7.4513,68
3,91,8.762,7.2214,79
0,92,8.762,7.3519,67
1,92,8.762,7.3782,81
2,92,8.762,7.1623,73
3,92,8.762,7.2033,81
0,93,8.762,7.1594,88
1,93,8.762,7.3116,73
2,93,8.762,7.1351,83
3,93,8.762,7.3319,76
0,94,8.762,7.3542,70
1,94,8.762,7.3059,75
2,94,8.762,7.2818,77
3,94,8.762,7.2672,79
0,95,8.762,7.3248,70
1,95,8.762,7.21,76
2,95,8.762,7.3713,72
3,95,8.762,7.2242,74
0,96,8.762,7.3524,77
1,96,8.762,7.1465,82
2,96,8.762,7.2987,85
3,96,8.762,7.4155,75
0,97,8.762,7.3637,66
1,97,8.762,7.3094,71
2,97,8.762,7.2222,76
3,97,8.762,7.3384,75
0,98,8.762,7.2406,80
1,98,8.762,7.2909,80
2,98,8.762,7.2144,76
3,98,8.762,7.258,80
0,99,8.762,7.2694,85
1,99,8.762,7.3095,75
2,99,8.762,7.2193,82
3,99,8.762,7.3228,82
0,100,8.762,7.3584,66
1,100,8.762,7.4245,71
2,100,8.762,7.4002,74
3,100,8.762,7.3202,61
0,101,8.762,7.329,75
1,101,8.762,7.2491,73
2,101,8.762,7.157,81
3,101,8.762,7.2429,67
0,102,8.762,7.3417,73
1,102,8.762,7.3879,70
2,102,8.762,7.1558,83
3,102,8.762,7.188,84
0,103,8.762,7.2888,83
1,103,8.762,7.2558,73
2,103,8.762,7.4007,74
3,103,8.762,7.3205,79
0,104,8.762,7.3745,64
1,104,8.762,7.1871,83
2,104,8.762,7.2592,75
3,104,8.762,7.1939,78
0,105,8.762,7.373,67
1,105,8.762,7.3251,83
2,105,8.762,7.244,80
3,105,8.762,7.306,68
0,106,8.762,7.1987,81
1,106,8.762,7.2486,72
2,106,8.762,7.17,77
3,106,8.762,7.4217,84
0,107,8.762,7.3394,73
1,107,8.762,7.4367,77
2,107,8.762,7.3632,76
3,107,8.762,7.3322,66
0,108,8.762,7.3451,71
1,108,8.762,7.2145,79
2,108,8.762,7.2503,75
3,108,8.762,7.3917,72
0,109,8.762,7.3096,74
1,109,8.762,7.2398,79
2,109,8.762,7.3451,79
3,109,8.762,7.3859,76
0,110,8.762,7.3027,82
1,110,8.762,7.146,85
2,110,8.762,7.364,75
3,110,8.762,7.3022,73
0,111,8.762,7.4099,73
1,111,8.762,7.3174,71
2,111,8.762,7.3797,74
3,111,8.762,7.3544,79
0,112,8.762,7.1374,81
1,112,8.762,7.2518,77
2,112,8.762,7.3754,71
3,112,8.762,7.2142,80
0,113,8.762,7.4328,71
1,113,8.762,7.337,78
2,113,8.762,7.0681,80
3,113,8.762,7.2348,74
0,114,8.762,7.2819,80
1,114,8.762,7.3028,84
2,114,8.762,7.4434,70
3,114,8.762,7.1768,76
0,115,8.762,7.3261,79
1,115,8.762,7.31,80
2,115,8.762,7.1287,81
3,115,8.762,7.3416,76
0,116,8.762,7.3584,79
1,116,8.762,7.3547,70
2,116,8.762,7.142,86
3,116,8.762,7.3345,75
0,117,8.762,7.3164,88
1,117,8.762,7.2744,79
2,117,8.762,7.3582,72
3,117,8.762,7.2897,69
0,118,8.762,7.4025,72
1,118,8.762,7.0845,81
2,118,8.762,7.1592,85
3,118,8.762,7.3365,76
0,119,8.762,7.2129,75
1,119,8.762,7.2809,70
2,119,8.762,7.272,78
3,119,8.762,7.2314,76
0,120,8.762,7.2763,79
1,120,8.762,7.177,74
2,120,8.762,7.2534,83
3,120,8.762,7.4131,80
0,121,8.762,7.5754,66
1,121,8.762,7.3896,81
2,121,8.762,7.1004,82
3,121,8.762,7.2906,74
0,122,8.762,7.3741,78
1,122,8.762,7.4009,75
2,122,8.762,7.2362,77
3,122,8.762,7.2078,81
0,123,8.762,7.351,80
1,123,8.762,7.3681,69
2,123,8.762,7.2777,72
3,123,8.762,7.4559,60
0,124,8.762,7.2364,71
1,124,8.762,7.3839,76
2,124,8.762,7.2996,79
3,124,8.762,7.3822,71
0,125,8.762,7.2763,71
1,125,8.762,7.3477,70
2,125,8.762,7.2598,77
3,125,8.762,7.3694,77
0,126,8.762,7.3598,72
1,126,8.762,7.4056,78
2,126,8.762,7.1819,83
3,126,8.762,7.1813,85
0,127,8.762,7.3489,70
1,127,8.762,7.3167,80
2,127,8.762,7.285,76
3,127,8.762,7.2333,76
0,128,8.762,7.0634,82
1,128,8.762,7.2811,81
2,128,8.762,7.2591,74
3,128,8.762,7.3744,74
0,129,8.762,7.488,70
1,129,8.762,7.3486,78
2,129,8.762,7.2706,81
3,129,8.762,7.2496,79
0,130,8.762,7.33,76
1,130,8.762,7.2283,81
2,130,8.762,7.2322,77
3,130,8.762,7.2492,75
0,131,8.762,7.2251,80
1,131,8.762,7.2093,87
2,131,8.762,7.3542,72
3,131,8.762,7.3443,74
0,132,8.762,7.3113,79
1,132,8.762,7.2078,85
2,132,8.762,7.1927,71
3,132,8.762,7.1566,87
0,133,8.762,7.4439,67
1,133,8.762,7.2884,81
2,133,8.762,7.1073,82
3,133,8.762,7.2594,80
0,134,8.762,7.2953,86
1,134,8.762,7.2995,79
2,134,8.762,7.266,69
3,134,8.762,7.328,63
0,135,8.762,7.2154,78
1,135,8.762,7.3494,74
2,135,8.762,7.3457,67
3,135,8.762,7.2221,75
0,136,8.762,7.1987,76
1,136,8.762,7.3215,68
2,136,8.762,7.255,76
3,136,8.762,7.3237,67
0,137,8.762,7.2573,82
1,137,8.762,7.2045,75
2,137,8.762,7.2397,72
3,137,8.762,7.3525,72
0,138,8.762,7.2401,85
1,138,8.762,7.2926,72
2,138,8.762,7.3084,77
3,138,8.762,7.2737,78
0,139,8.762,7.3007,79
1,139,8.762,7.3859,75
2,139,8.762,7.2464,77
3,139,8.762,7.2438,74
0,140,8.762,7.2088,77
1,140,8.762,7.2714,72
2,140,8.762,7.4179,72
3,140,8.762,7.2244,79
0,141,8.762,7.2824,87
1,141,8.762,7.2437,75
2,141,8.762,7.3049,75
3,141,8.762,7.228,79
0,142,8.762,7.4416,75
1,142,8.762,7.1424,81
