strategy,seed,budget_target,budget_used,best_found,pred_top16,spearman_5k,violations,wall_s,history
v2-prior,11,96,96,3.8731,2.9869,0.3631,0,9.5,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.716512694680002}, {""round"": 2, ""budget"": 72, ""best_label"": 3.79314587049}, {""round"": 3, ""budget"": 96, ""best_label"": 3.75348838513}]"
v2-prior,22,96,96,4.0268,3.3153,0.4133,0,9.5,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.78233167913}, {""round"": 1, ""budget"": 48, ""best_label"": 4.013864698419998}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85251781873}, {""round"": 3, ""budget"": 96, ""best_label"": 4.02678534403}]"
v2-prior,33,96,96,3.8731,3.0213,0.3679,0,9.3,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.77683687759}, {""round"": 2, ""budget"": 72, ""best_label"": 3.70947279816}, {""round"": 3, ""budget"": 96, ""best_label"": 3.67087410313}]"
v2-prior,44,96,96,3.8496,2.6838,0.3703,0,10.1,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.71926907017}, {""round"": 1, ""budget"": 48, ""best_label"": 3.84957986757}, {""round"": 2, ""budget"": 72, ""best_label"": 3.75896595024}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7997754490300006}]"
v2-prior,55,96,96,3.9546,3.526,0.337,0,9.4,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.95462864826}, {""round"": 1, ""budget"": 48, ""best_label"": 3.75193194198}, {""round"": 2, ""budget"": 72, ""best_label"": 3.86731774083}, {""round"": 3, ""budget"": 96, ""best_label"": 3.73702369118}]"
v2-prior,66,96,96,3.8763,2.7503,0.3807,0,9.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.75983880995}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87634027049}, {""round"": 2, ""budget"": 72, ""best_label"": 3.78029799109}, {""round"": 3, ""budget"": 96, ""best_label"": 3.8024267471800006}]"
v2-prior,77,96,96,3.8581,3.348,0.4562,0,9.4,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.7378860328900014}, {""round"": 1, ""budget"": 48, ""best_label"": 3.8425349291300006}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85805760359}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7718812519}]"
v2-prior,88,96,96,3.9755,3.0421,0.3644,0,9.4,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.72143940023}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87308538615}, {""round"": 2, ""budget"": 72, ""best_label"": 3.893948897869999}, {""round"": 3, ""budget"": 96, ""best_label"": 3.9755409443}]"
v2-prior,11,192,192,3.8731,2.9314,0.4026,0,22.1,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.716512694680002}, {""round"": 2, ""budget"": 72, ""best_label"": 3.79314587049}, {""round"": 3, ""budget"": 96, ""best_label"": 3.75348838513}, {""round"": 4, ""budget"": 120, ""best_label"": 3.77251984464}, {""round"": 5, ""budget"": 144, ""best_label"": 3.72666073217}, {""round"": 6, ""budget"": 168, ""best_label"": 3.71248820447}, {""round"": 7, ""budget"": 192, ""best_label"": 3.80844757179}]"
v2-prior,22,192,192,4.0268,3.5784,0.4753,0,21.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.78233167913}, {""round"": 1, ""budget"": 48, ""best_label"": 4.013864698419998}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85251781873}, {""round"": 3, ""budget"": 96, ""best_label"": 4.02678534403}, {""round"": 4, ""budget"": 120, ""best_label"": 3.87752330556}, {""round"": 5, ""budget"": 144, ""best_label"": 3.75737598819}, {""round"": 6, ""budget"": 168, ""best_label"": 3.66324761447}, {""round"": 7, ""budget"": 192, ""best_label"": 3.857330835630001}]"
v2-prior,33,192,192,3.8731,2.7765,0.4339,0,29.0,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.77683687759}, {""round"": 2, ""budget"": 72, ""best_label"": 3.70947279816}, {""round"": 3, ""budget"": 96, ""best_label"": 3.67087410313}, {""round"": 4, ""budget"": 120, ""best_label"": 3.8105863929}, {""round"": 5, ""budget"": 144, ""best_label"": 3.79726321519}, {""round"": 6, ""budget"": 168, ""best_label"": 3.77597388736}, {""round"": 7, ""budget"": 192, ""best_label"": 3.78055739073}]"
v2-prior,44,192,192,4.1231,3.0235,0.4177,0,30.6,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.71926907017}, {""round"": 1, ""budget"": 48, ""best_label"": 3.84957986757}, {""round"": 2, ""budget"": 72, ""best_label"": 3.75896595024}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7997754490300006}, {""round"": 4, ""budget"": 120, ""best_label"": 3.82757335017}, {""round"": 5, ""budget"": 144, ""best_label"": 3.95462864826}, {""round"": 6, ""budget"": 168, ""best_label"": 4.12310906338}, {""round"": 7, ""budget"": 192, ""best_label"": 3.82689906554}]"
v2-prior,55,192,192,3.9546,3.4899,0.4384,0,25.5,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.95462864826}, {""round"": 1, ""budget"": 48, ""best_label"": 3.75193194198}, {""round"": 2, ""budget"": 72, ""best_label"": 3.86731774083}, {""round"": 3, ""budget"": 96, ""best_label"": 3.73702369118}, {""round"": 4, ""budget"": 120, ""best_label"": 3.75801739335}, {""round"": 5, ""budget"": 144, ""best_label"": 3.8363316404}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79740829371}, {""round"": 7, ""budget"": 192, ""best_label"": 3.8467486153400015}]"
v2-prior,66,192,192,3.8763,2.9367,0.4588,0,23.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.75983880995}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87634027049}, {""round"": 2, ""budget"": 72, ""best_label"": 3.78029799109}, {""round"": 3, ""budget"": 96, ""best_label"": 3.8024267471800006}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76495602132}, {""round"": 5, ""budget"": 144, ""best_label"": 3.77088099505}, {""round"": 6, ""budget"": 168, ""best_label"": 3.68029104611}, {""round"": 7, ""budget"": 192, ""best_label"": 3.80641710227}]"
v2-prior,77,192,192,3.8581,3.4222,0.4845,0,28.0,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.7378860328900014}, {""round"": 1, ""budget"": 48, ""best_label"": 3.8425349291300006}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85805760359}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7718812519}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76447009302}, {""round"": 5, ""budget"": 144, ""best_label"": 3.69453143335}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79471033133}, {""round"": 7, ""budget"": 192, ""best_label"": 3.75167068505}]"
v2-prior,88,192,192,3.9755,3.065,0.4184,0,22.0,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.72143940023}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87308538615}, {""round"": 2, ""budget"": 72, ""best_label"": 3.893948897869999}, {""round"": 3, ""budget"": 96, ""best_label"": 3.9755409443}, {""round"": 4, ""budget"": 120, ""best_label"": 3.63401367453}, {""round"": 5, ""budget"": 144, ""best_label"": 3.88443774884}, {""round"": 6, ""budget"": 168, ""best_label"": 3.78987906099}, {""round"": 7, ""budget"": 192, ""best_label"": 3.79002316523}]"
v2-prior,11,384,384,3.8731,3.4516,0.5012,0,39.8,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.716512694680002}, {""round"": 2, ""budget"": 72, ""best_label"": 3.79314587049}, {""round"": 3, ""budget"": 96, ""best_label"": 3.75348838513}, {""round"": 4, ""budget"": 120, ""best_label"": 3.77251984464}, {""round"": 5, ""budget"": 144, ""best_label"": 3.72666073217}, {""round"": 6, ""budget"": 168, ""best_label"": 3.71248820447}, {""round"": 7, ""budget"": 192, ""best_label"": 3.80844757179}, {""round"": 8, ""budget"": 216, ""best_label"": 3.74820126255}, {""round"": 9, ""budget"": 240, ""best_label"": 3.80500105479}, {""round"": 10, ""budget"": 264, ""best_label"": 3.76142704641}, {""round"": 11, ""budget"": 288, ""best_label"": 3.7370332346300006}, {""round"": 12, ""budget"": 312, ""best_label"": 3.80934230119}, {""round"": 13, ""budget"": 336, ""best_label"": 3.79909374382}, {""round"": 14, ""budget"": 360, ""best_label"": 3.7716750253}, {""round"": 15, ""budget"": 384, ""best_label"": 3.69728085694}]"
v2-prior,22,384,384,4.0268,3.2639,0.5309,0,38.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.78233167913}, {""round"": 1, ""budget"": 48, ""best_label"": 4.013864698419998}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85251781873}, {""round"": 3, ""budget"": 96, ""best_label"": 4.02678534403}, {""round"": 4, ""budget"": 120, ""best_label"": 3.87752330556}, {""round"": 5, ""budget"": 144, ""best_label"": 3.75737598819}, {""round"": 6, ""budget"": 168, ""best_label"": 3.66324761447}, {""round"": 7, ""budget"": 192, ""best_label"": 3.857330835630001}, {""round"": 8, ""budget"": 216, ""best_label"": 3.79456151883}, {""round"": 9, ""budget"": 240, ""best_label"": 3.89524312593}, {""round"": 10, ""budget"": 264, ""best_label"": 3.84298958161}, {""round"": 11, ""budget"": 288, ""best_label"": 3.7259711916300007}, {""round"": 12, ""budget"": 312, ""best_label"": 3.91808635647}, {""round"": 13, ""budget"": 336, ""best_label"": 3.81970210089}, {""round"": 14, ""budget"": 360, ""best_label"": 3.953950192}, {""round"": 15, ""budget"": 384, ""best_label"": 3.84061261185}]"
v2-prior,33,384,384,3.8975,3.4094,0.4875,0,42.4,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.77683687759}, {""round"": 2, ""budget"": 72, ""best_label"": 3.70947279816}, {""round"": 3, ""budget"": 96, ""best_label"": 3.67087410313}, {""round"": 4, ""budget"": 120, ""best_label"": 3.8105863929}, {""round"": 5, ""budget"": 144, ""best_label"": 3.79726321519}, {""round"": 6, ""budget"": 168, ""best_label"": 3.77597388736}, {""round"": 7, ""budget"": 192, ""best_label"": 3.78055739073}, {""round"": 8, ""budget"": 216, ""best_label"": 3.8182206826}, {""round"": 9, ""budget"": 240, ""best_label"": 3.79107222206}, {""round"": 10, ""budget"": 264, ""best_label"": 3.8420717683800008}, {""round"": 11, ""budget"": 288, ""best_label"": 3.77841386426}, {""round"": 12, ""budget"": 312, ""best_label"": 3.8974692349}, {""round"": 13, ""budget"": 336, ""best_label"": 3.80121852139}, {""round"": 14, ""budget"": 360, ""best_label"": 3.7392550754}, {""round"": 15, ""budget"": 384, ""best_label"": 3.7718812519}]"
