strategy,seed,budget_target,budget_used,best_found,pred_top16,spearman_5k,violations,wall_s,history
v2,77,192,192,3.8581,2.4103,0.461,0,18.6,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.7378860328900014}, {""round"": 1, ""budget"": 48, ""best_label"": 3.8425349291300006}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85805760359}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7718812519}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76447009302}, {""round"": 5, ""budget"": 144, ""best_label"": 3.69453143335}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79471033133}, {""round"": 7, ""budget"": 192, ""best_label"": 3.75167068505}]"
v2,88,192,192,3.9755,2.49,0.4338,0,18.8,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.72143940023}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87308538615}, {""round"": 2, ""budget"": 72, ""best_label"": 3.893948897869999}, {""round"": 3, ""budget"": 96, ""best_label"": 3.9755409443}, {""round"": 4, ""budget"": 120, ""best_label"": 3.63401367453}, {""round"": 5, ""budget"": 144, ""best_label"": 3.88443774884}, {""round"": 6, ""budget"": 168, ""best_label"": 3.78987906099}, {""round"": 7, ""budget"": 192, ""best_label"": 3.79002316523}]"
v2,11,384,384,3.8731,2.9741,0.4839,0,38.3,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.716512694680002}, {""round"": 2, ""budget"": 72, ""best_label"": 3.79314587049}, {""round"": 3, ""budget"": 96, ""best_label"": 3.75348838513}, {""round"": 4, ""budget"": 120, ""best_label"": 3.77251984464}, {""round"": 5, ""budget"": 144, ""best_label"": 3.72666073217}, {""round"": 6, ""budget"": 168, ""best_label"": 3.71248820447}, {""round"": 7, ""budget"": 192, ""best_label"": 3.80844757179}, {""round"": 8, ""budget"": 216, ""best_label"": 3.74820126255}, {""round"": 9, ""budget"": 240, ""best_label"": 3.80500105479}, {""round"": 10, ""budget"": 264, ""best_label"": 3.76142704641}, {""round"": 11, ""budget"": 288, ""best_label"": 3.7370332346300006}, {""round"": 12, ""budget"": 312, ""best_label"": 3.80934230119}, {""round"": 13, ""budget"": 336, ""best_label"": 3.79909374382}, {""round"": 14, ""budget"": 360, ""best_label"": 3.7716750253}, {""round"": 15, ""budget"": 384, ""best_label"": 3.69728085694}]"
v2,22,384,384,4.0268,3.1326,0.5085,0,37.9,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.78233167913}, {""round"": 1, ""budget"": 48, ""best_label"": 4.013864698419998}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85251781873}, {""round"": 3, ""budget"": 96, ""best_label"": 4.02678534403}, {""round"": 4, ""budget"": 120, ""best_label"": 3.87752330556}, {""round"": 5, ""budget"": 144, ""best_label"": 3.75737598819}, {""round"": 6, ""budget"": 168, ""best_label"": 3.66324761447}, {""round"": 7, ""budget"": 192, ""best_label"": 3.857330835630001}, {""round"": 8, ""budget"": 216, ""best_label"": 3.79456151883}, {""round"": 9, ""budget"": 240, ""best_label"": 3.89524312593}, {""round"": 10, ""budget"": 264, ""best_label"": 3.84298958161}, {""round"": 11, ""budget"": 288, ""best_label"": 3.7259711916300007}, {""round"": 12, ""budget"": 312, ""best_label"": 3.91808635647}, {""round"": 13, ""budget"": 336, ""best_label"": 3.81970210089}, {""round"": 14, ""budget"": 360, ""best_label"": 3.953950192}, {""round"": 15, ""budget"": 384, ""best_label"": 3.84061261185}]"
v2,33,384,384,3.8975,3.1929,0.5004,0,41.0,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 48, ""best_label"": 3.77683687759}, {""round"": 2, ""budget"": 72, ""best_label"": 3.70947279816}, {""round"": 3, ""budget"": 96, ""best_label"": 3.67087410313}, {""round"": 4, ""budget"": 120, ""best_label"": 3.8105863929}, {""round"": 5, ""budget"": 144, ""best_label"": 3.79726321519}, {""round"": 6, ""budget"": 168, ""best_label"": 3.77597388736}, {""round"": 7, ""budget"": 192, ""best_label"": 3.78055739073}, {""round"": 8, ""budget"": 216, ""best_label"": 3.8182206826}, {""round"": 9, ""budget"": 240, ""best_label"": 3.79107222206}, {""round"": 10, ""budget"": 264, ""best_label"": 3.8420717683800008}, {""round"": 11, ""budget"": 288, ""best_label"": 3.77841386426}, {""round"": 12, ""budget"": 312, ""best_label"": 3.8974692349}, {""round"": 13, ""budget"": 336, ""best_label"": 3.80121852139}, {""round"": 14, ""budget"": 360, ""best_label"": 3.7392550754}, {""round"": 15, ""budget"": 384, ""best_label"": 3.7718812519}]"
v2,44,384,384,4.1231,2.7873,0.5018,0,41.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.71926907017}, {""round"": 1, ""budget"": 48, ""best_label"": 3.84957986757}, {""round"": 2, ""budget"": 72, ""best_label"": 3.75896595024}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7997754490300006}, {""round"": 4, ""budget"": 120, ""best_label"": 3.82757335017}, {""round"": 5, ""budget"": 144, ""best_label"": 3.95462864826}, {""round"": 6, ""budget"": 168, ""best_label"": 4.12310906338}, {""round"": 7, ""budget"": 192, ""best_label"": 3.82689906554}, {""round"": 8, ""budget"": 216, ""best_label"": 3.87186570787}, {""round"": 9, ""budget"": 240, ""best_label"": 3.71538026011}, {""round"": 10, ""budget"": 264, ""best_label"": 3.83644186505}, {""round"": 11, ""budget"": 288, ""best_label"": 3.77171765063}, {""round"": 12, ""budget"": 312, ""best_label"": 3.72442794925667}, {""round"": 13, ""budget"": 336, ""best_label"": 3.80093557575}, {""round"": 14, ""budget"": 360, ""best_label"": 3.89801527925}, {""round"": 15, ""budget"": 384, ""best_label"": 3.8847714694}]"
v2,55,384,384,3.9546,3.1272,0.5168,0,37.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.95462864826}, {""round"": 1, ""budget"": 48, ""best_label"": 3.75193194198}, {""round"": 2, ""budget"": 72, ""best_label"": 3.86731774083}, {""round"": 3, ""budget"": 96, ""best_label"": 3.73702369118}, {""round"": 4, ""budget"": 120, ""best_label"": 3.75801739335}, {""round"": 5, ""budget"": 144, ""best_label"": 3.8363316404}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79740829371}, {""round"": 7, ""budget"": 192, ""best_label"": 3.8467486153400015}, {""round"": 8, ""budget"": 216, ""best_label"": 3.90389095979}, {""round"": 9, ""budget"": 240, ""best_label"": 3.853267411080002}, {""round"": 10, ""budget"": 264, ""best_label"": 3.9297767208800014}, {""round"": 11, ""budget"": 288, ""best_label"": 3.77188127951}, {""round"": 12, ""budget"": 312, ""best_label"": 3.70366132061}, {""round"": 13, ""budget"": 336, ""best_label"": 3.76157113959}, {""round"": 14, ""budget"": 360, ""best_label"": 3.88413151855}, {""round"": 15, ""budget"": 384, ""best_label"": 3.8926150629}]"
v2,66,384,384,3.9885,3.0377,0.522,0,38.8,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.75983880995}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87634027049}, {""round"": 2, ""budget"": 72, ""best_label"": 3.78029799109}, {""round"": 3, ""budget"": 96, ""best_label"": 3.8024267471800006}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76495602132}, {""round"": 5, ""budget"": 144, ""best_label"": 3.77088099505}, {""round"": 6, ""budget"": 168, ""best_label"": 3.68029104611}, {""round"": 7, ""budget"": 192, ""best_label"": 3.80641710227}, {""round"": 8, ""budget"": 216, ""best_label"": 3.84374539121}, {""round"": 9, ""budget"": 240, ""best_label"": 3.67454016989}, {""round"": 10, ""budget"": 264, ""best_label"": 3.774418186865}, {""round"": 11, ""budget"": 288, ""best_label"": 3.91195804468}, {""round"": 12, ""budget"": 312, ""best_label"": 3.73674820301}, {""round"": 13, ""budget"": 336, ""best_label"": 3.81340999167}, {""round"": 14, ""budget"": 360, ""best_label"": 3.98846861193}, {""round"": 15, ""budget"": 384, ""best_label"": 3.73896815569}]"
v2,77,384,384,3.8817,3.0426,0.5339,0,43.1,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.7378860328900014}, {""round"": 1, ""budget"": 48, ""best_label"": 3.8425349291300006}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85805760359}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7718812519}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76447009302}, {""round"": 5, ""budget"": 144, ""best_label"": 3.69453143335}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79471033133}, {""round"": 7, ""budget"": 192, ""best_label"": 3.75167068505}, {""round"": 8, ""budget"": 216, ""best_label"": 3.77015362216}, {""round"": 9, ""budget"": 240, ""best_label"": 3.88165204632}, {""round"": 10, ""budget"": 264, ""best_label"": 3.7872300293}, {""round"": 11, ""budget"": 288, ""best_label"": 3.78978080696}, {""round"": 12, ""budget"": 312, ""best_label"": 3.73044553411}, {""round"": 13, ""budget"": 336, ""best_label"": 3.714627734730002}, {""round"": 14, ""budget"": 360, ""best_label"": 3.77769544731}, {""round"": 15, ""budget"": 384, ""best_label"": 3.85888137894}]"
v2,88,384,384,4.0956,3.234,0.5321,0,39.0,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.72143940023}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87308538615}, {""round"": 2, ""budget"": 72, ""best_label"": 3.893948897869999}, {""round"": 3, ""budget"": 96, ""best_label"": 3.9755409443}, {""round"": 4, ""budget"": 120, ""best_label"": 3.63401367453}, {""round"": 5, ""budget"": 144, ""best_label"": 3.88443774884}, {""round"": 6, ""budget"": 168, ""best_label"": 3.78987906099}, {""round"": 7, ""budget"": 192, ""best_label"": 3.79002316523}, {""round"": 8, ""budget"": 216, ""best_label"": 3.77597430847}, {""round"": 9, ""budget"": 240, ""best_label"": 3.82876468265}, {""round"": 10, ""budget"": 264, ""best_label"": 3.76263005562}, {""round"": 11, ""budget"": 288, ""best_label"": 3.85686379695}, {""round"": 12, ""budget"": 312, ""best_label"": 4.09563969548}, {""round"": 13, ""budget"": 336, ""best_label"": 3.77189726}, {""round"": 14, ""budget"": 360, ""best_label"": 3.83992850846}, {""round"": 15, ""budget"": 384, ""best_label"": 3.8830984534199993}]"
